total_decision_steps,total_minutes,final_metrics,moe_cumulative_reward,propagation_factor,scenario,scenario_name,scenario_path,ignition_pos,sim_seed,delta_moe_total,fire_detection_delay_minutes,response_time_seconds
1,10.0,"{'burnt_area_m2': 225.0, 'fire_cost_eur': 0.0, 'casualties': 0.0, 'emissions_tonnes': 0.0}",0.999999380983823,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67931.24460280128, 70642.63323586341)",140897,0.0,60.0,3600.0
9,90.0,"{'burnt_area_m2': 396950.0, 'fire_cost_eur': 56050.4, 'casualties': 200.0, 'emissions_tonnes': 100.09}",0.9985504925214113,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70266.24460280314, 68607.63323586341)",601907,-0.0009922331168280563,60.0,3600.0
10,100.0,"{'burnt_area_m2': 432800.0, 'fire_cost_eur': 60692.8, 'casualties': 216.0, 'emissions_tonnes': 108.38}",0.9984227295993184,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67311.24460280128, 67472.63323586388)",607372,-0.0011498163314084264,60.0,3600.0
9,90.0,"{'burnt_area_m2': 334325.0, 'fire_cost_eur': 48462.4, 'casualties': 173.0, 'emissions_tonnes': 86.54}",0.9987711099213252,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70081.24460280128, 67577.63323586294)",208196,-0.0008035598763330709,60.0,3600.0
10,100.0,"{'burnt_area_m2': 486325.0, 'fire_cost_eur': 67524.8, 'casualties': 241.0, 'emissions_tonnes': 120.58}",0.9982313875584903,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67276.24460280128, 67647.63323586341)",587672,-0.0013294496226868846,60.0,3600.0
11,110.0,"{'burnt_area_m2': 602100.0, 'fire_cost_eur': 82017.6, 'casualties': 292.0, 'emissions_tonnes': 146.46}",0.9978210453813651,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(69881.24460280314, 68692.63323586294)",900837,-0.0016775760335487888,60.0,3600.0
2,20.0,"{'burnt_area_m2': 5150.0, 'fire_cost_eur': 54001808.8, 'casualties': 546.0, 'emissions_tonnes': 327.23}",0.9988367688827702,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70011.24460280314, 69827.63323586294)",568271,-0.0007576293396504008,60.0,3600.0
12,120.0,"{'burnt_area_m2': 606425.0, 'fire_cost_eur': 83048.0, 'casualties': 296.0, 'emissions_tonnes': 148.3}",0.9978023063772572,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70226.24460280128, 67892.63323586388)",948716,-0.0016342056452756104,60.0,3600.0
13,130.0,"{'burnt_area_m2': 705825.0, 'fire_cost_eur': 95933.6, 'casualties': 342.0, 'emissions_tonnes': 171.31}",0.997446651340866,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(68931.24460280128, 68377.63323586341)",385144,-0.0020609475365822583,60.0,3600.0
13,130.0,"{'burnt_area_m2': 737650.0, 'fire_cost_eur': 99374.8, 'casualties': 354.0, 'emissions_tonnes': 177.46}",0.9973373738332059,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(69096.24460280128, 68147.63323586341)",390418,-0.002001952280141772,60.0,3600.0
14,140.0,"{'burnt_area_m2': 5860425.0, 'fire_cost_eur': 321745243.6, 'casualties': 5581.0, 'emissions_tonnes': 7015.4}",-0.034560148218750086,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67266.24460280314, 70822.63323586434)",289306,-1.0325641558636938,60.0,3600.0
14,140.0,"{'burnt_area_m2': 551875.0, 'fire_cost_eur': 80550.4, 'casualties': 287.0, 'emissions_tonnes': 143.84}",0.997968383598973,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70026.24460280314, 69132.63323586294)",587679,-0.0015304822684413244,60.0,3600.0
15,150.0,"{'burnt_area_m2': 1086975.0, 'fire_cost_eur': 141719.2, 'casualties': 506.0, 'emissions_tonnes': 253.07}",0.9961055471854028,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(69061.24460280128, 67527.63323586341)",189520,-0.0031799829359770992,60.0,3600.0
15,150.0,"{'burnt_area_m2': 935475.0, 'fire_cost_eur': 124353.6, 'casualties': 444.0, 'emissions_tonnes': 222.06}",0.9966331191649325,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(69041.24460280128, 68277.63323586341)",73526,-0.0027634109428624765,60.0,3600.0
16,160.0,"{'burnt_area_m2': 1012300.0, 'fire_cost_eur': 135041.2, 'casualties': 482.0, 'emissions_tonnes': 241.15}",0.9963537097730676,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(68901.24460280314, 68052.63323586294)",829239,-0.002753091777616068,60.0,3600.0
17,170.0,"{'burnt_area_m2': 4543275.0, 'fire_cost_eur': 209353445.6, 'casualties': 3945.0, 'emissions_tonnes': 6181.58}",-0.02783752284472607,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67341.24460280314, 70752.63323586388)",816597,-1.0260392415272812,60.0,3600.0
