total_decision_steps,total_minutes,final_metrics,moe_cumulative_reward,propagation_factor,scenario,scenario_name,scenario_path,ignition_pos,sim_seed,delta_moe_total,fire_detection_delay_minutes,response_time_seconds
9,90.0,"{'burnt_area_m2': 396950.0, 'fire_cost_eur': 56050.4, 'casualties': 200.0, 'emissions_tonnes': 100.09}",0.9985504925214111,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70266.24460280314, 68607.63323586341)",601907,-0.000992233116828,60.0,3600.0
10,100.0,"{'burnt_area_m2': 432800.0, 'fire_cost_eur': 60692.8, 'casualties': 216.0, 'emissions_tonnes': 108.38}",0.9984227295993184,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67311.24460280128, 67472.63323586388)",607372,-0.0011498163314084,60.0,3600.0
9,90.0,"{'burnt_area_m2': 334325.0, 'fire_cost_eur': 48462.4, 'casualties': 173.0, 'emissions_tonnes': 86.54}",0.9987711099213252,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70081.24460280128, 67577.63323586294)",208196,-0.000803559876333,60.0,3600.0
10,100.0,"{'burnt_area_m2': 486325.0, 'fire_cost_eur': 67524.8, 'casualties': 241.0, 'emissions_tonnes': 120.58}",0.9982313875584904,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67276.24460280128, 67647.63323586341)",587672,-0.0013294496226868,60.0,3600.0
11,110.0,"{'burnt_area_m2': 602100.0, 'fire_cost_eur': 82017.6, 'casualties': 292.0, 'emissions_tonnes': 146.46}",0.9978210453813652,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(69881.24460280314, 68692.63323586294)",900837,-0.0016775760335487,60.0,3600.0
12,120.0,"{'burnt_area_m2': 606425.0, 'fire_cost_eur': 83048.0, 'casualties': 296.0, 'emissions_tonnes': 148.3}",0.9978023063772572,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70226.24460280128, 67892.63323586388)",948716,-0.0016342056452756,60.0,3600.0
13,130.0,"{'burnt_area_m2': 705825.0, 'fire_cost_eur': 95933.6, 'casualties': 342.0, 'emissions_tonnes': 171.31}",0.997446651340866,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(68931.24460280128, 68377.63323586341)",385144,-0.0020609475365822,60.0,3600.0
13,130.0,"{'burnt_area_m2': 737650.0, 'fire_cost_eur': 99374.8, 'casualties': 354.0, 'emissions_tonnes': 177.46}",0.997337373833206,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(69096.24460280128, 68147.63323586341)",390418,-0.0020019522801417,60.0,3600.0
14,140.0,"{'burnt_area_m2': 5860425.0, 'fire_cost_eur': 321745243.6, 'casualties': 5581.0, 'emissions_tonnes': 7015.4}",-0.03456014821875,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67266.24460280314, 70822.63323586434)",289306,-1.0325641558636938,60.0,3600.0
14,140.0,"{'burnt_area_m2': 551875.0, 'fire_cost_eur': 80550.4, 'casualties': 287.0, 'emissions_tonnes': 143.84}",0.997968383598973,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70026.24460280314, 69132.63323586294)",587679,-0.0015304822684413,60.0,3600.0
15,150.0,"{'burnt_area_m2': 1086975.0, 'fire_cost_eur': 141719.2, 'casualties': 506.0, 'emissions_tonnes': 253.07}",0.9961055471854028,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(69061.24460280128, 67527.63323586341)",189520,-0.003179982935977,60.0,3600.0
15,150.0,"{'burnt_area_m2': 935475.0, 'fire_cost_eur': 124353.6, 'casualties': 444.0, 'emissions_tonnes': 222.06}",0.9966331191649324,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(69041.24460280128, 68277.63323586341)",73526,-0.0027634109428624,60.0,3600.0
16,160.0,"{'burnt_area_m2': 1012300.0, 'fire_cost_eur': 135041.2, 'casualties': 482.0, 'emissions_tonnes': 241.15}",0.9963537097730676,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(68901.24460280314, 68052.63323586294)",829239,-0.002753091777616,60.0,3600.0
17,170.0,"{'burnt_area_m2': 4543275.0, 'fire_cost_eur': 209353445.6, 'casualties': 3945.0, 'emissions_tonnes': 6181.58}",-0.027837522844726,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67341.24460280314, 70752.63323586388)",816597,-1.0260392415272812,60.0,3600.0
7,70.0,"{'burnt_area_m2': 236925.0, 'fire_cost_eur': 34742.4, 'casualties': 124.0, 'emissions_tonnes': 62.04}",0.9991266023408024,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70041.24460280314, 67742.63323586341)",174726,-0.0005506286175823,60.0,3600.0
21,210.0,"{'burnt_area_m2': 992475.0, 'fire_cost_eur': 138787.6, 'casualties': 495.0, 'emissions_tonnes': 247.84}",0.9963846683599944,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67936.24460280128, 71767.63323586388)",387376,-0.0031021940613829,60.0,3600.0
22,220.0,"{'burnt_area_m2': 6556125.0, 'fire_cost_eur': 762549.2, 'casualties': 2723.0, 'emissions_tonnes': 1361.7}",-0.0229014921069385,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71721.24460280128, 67497.63323586341)",79028,-1.0206805430909294,60.0,3600.0
9,90.0,"{'burnt_area_m2': 423000.0, 'fire_cost_eur': 59026.8, 'casualties': 210.0, 'emissions_tonnes': 105.41}",0.9984603516359548,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70266.24460280314, 68762.63323586388)",485987,-0.0010179153418646,60.0,3600.0
23,230.0,"{'burnt_area_m2': 8346100.0, 'fire_cost_eur': 964796.0, 'casualties': 3445.0, 'emissions_tonnes': 1722.85}",-0.0291160132132647,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(72036.24460280314, 67702.63323586294)",883353,-1.028315302137056,60.0,3600.0
23,230.0,"{'burnt_area_m2': 1743825.0, 'fire_cost_eur': 238812.0, 'casualties': 793.0, 'emissions_tonnes': 1193.14}",0.9922681746398384,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67421.24460280128, 68197.63323586248)",529173,-0.0066005519395191,60.0,3600.0
15,150.0,"{'burnt_area_m2': 794125.0, 'fire_cost_eur': 109552.8, 'casualties': 391.0, 'emissions_tonnes': 195.63}",0.9971165377437065,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70316.24460280128, 67767.63323586201)",690152,-0.0020944599296344,60.0,3600.0
12,120.0,"{'burnt_area_m2': 480800.0, 'fire_cost_eur': 69258.0, 'casualties': 247.0, 'emissions_tonnes': 123.68}",0.9982356796454436,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70131.24460280314, 67912.63323586388)",583383,-0.0013605096976321,60.0,3600.0
25,250.0,"{'burnt_area_m2': 10903575.0, 'fire_cost_eur': 1252258.0, 'casualties': 4472.0, 'emissions_tonnes': 2236.18}",-0.0379862695210336,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(72031.24460280314, 67977.6332358648)",998187,-1.0361882326560892,60.0,3600.0
26,260.0,"{'burnt_area_m2': 11353950.0, 'fire_cost_eur': 1305077.2, 'casualties': 4660.0, 'emissions_tonnes': 2330.49}",-0.0395617430197124,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71666.24460280314, 68167.63323586294)",403825,-1.037551084714842,60.0,3600.0
15,150.0,"{'burnt_area_m2': 425400.0, 'fire_cost_eur': 217315336.8, 'casualties': 2403.0, 'emissions_tonnes': 1446.52}",0.9937870382557766,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70436.24460280128, 70347.63323586388)",576173,-0.0043196467197176,60.0,3600.0
27,270.0,"{'burnt_area_m2': 1821150.0, 'fire_cost_eur': 240732.8, 'casualties': 859.0, 'emissions_tonnes': 429.88}",0.9934545535259572,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(68276.24460280314, 68437.63323586294)",859431,-0.0061309546094152,60.0,3600.0
12,120.0,"{'burnt_area_m2': 422675.0, 'fire_cost_eur': 63123.2, 'casualties': 225.0, 'emissions_tonnes': 112.72}",0.9984348138433156,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71666.24460280314, 70142.63323586341)",347684,-0.0012553602683219,60.0,3600.0
29,290.0,"{'burnt_area_m2': 8150900.0, 'fire_cost_eur': 949267.2, 'casualties': 3390.0, 'emissions_tonnes': 1695.12}",-0.0284802991293599,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71576.24460280128, 68067.63323586341)",605584,-1.0273331755991872,60.0,3600.0
29,290.0,"{'burnt_area_m2': 9098225.0, 'fire_cost_eur': 1055793.2, 'casualties': 3770.0, 'emissions_tonnes': 1885.35}",-0.0317657842440955,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71651.24460280314, 68012.63323586388)",720240,-1.0306065508940034,60.0,3600.0
31,310.0,"{'burnt_area_m2': 11486425.0, 'fire_cost_eur': 1329339.2, 'casualties': 4747.0, 'emissions_tonnes': 2373.82}",-0.0400812874137525,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70946.24460280128, 67937.63323586201)",697494,-1.0393274996825157,60.0,3600.0
10,100.0,"{'burnt_area_m2': 533375.0, 'fire_cost_eur': 73248.0, 'casualties': 261.0, 'emissions_tonnes': 130.8}",0.9980657997206356,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(69171.24460280128, 67442.63323586388)",783121,-0.0013088097713724,60.0,3600.0
32,320.0,"{'burnt_area_m2': 2830225.0, 'fire_cost_eur': 445563.2, 'casualties': 1251.0, 'emissions_tonnes': 5193.4}",0.9812762997345124,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67271.24460280314, 68247.63323586341)",4108,-0.0176213074301174,60.0,3600.0
17,170.0,"{'burnt_area_m2': 5483225.0, 'fire_cost_eur': 637758618.15, 'casualties': 8570.0, 'emissions_tonnes': 11758.92}",-0.0454637023563633,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(68206.24460280128, 70927.63323586341)",110701,-1.0427502331905774,60.0,3600.0
10,100.0,"{'burnt_area_m2': 472250.0, 'fire_cost_eur': 66192.0, 'casualties': 236.0, 'emissions_tonnes': 118.2}",0.9982788131010824,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67401.24460280128, 71632.63323586341)",204760,-0.0012918724666065,60.0,3600.0
38,380.0,"{'burnt_area_m2': 6640850.0, 'fire_cost_eur': 791792.4, 'casualties': 2827.0, 'emissions_tonnes': 1413.91}",-0.0233207583322766,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70951.24460280128, 68167.63323586294)",991348,-1.02262533970381,60.0,3600.0
38,380.0,"{'burnt_area_m2': 12638775.0, 'fire_cost_eur': 353956873.6, 'casualties': 8728.0, 'emissions_tonnes': 4716.56}",-0.0514936575622583,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(72086.24460280128, 68502.63323586434)",282273,-1.0510110857748254,60.0,3600.0
7,70.0,"{'burnt_area_m2': 227125.0, 'fire_cost_eur': 34291.6, 'casualties': 122.0, 'emissions_tonnes': 61.23}",0.9991567743535156,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70196.24460280128, 68077.63323586388)",899085,-0.0005640221913488,60.0,3600.0
26,260.0,"{'burnt_area_m2': 4094400.0, 'fire_cost_eur': 745802.8, 'casualties': 1759.0, 'emissions_tonnes': 1064.33}",-0.014758949599548,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67776.24460280314, 71737.63323586294)",974173,-1.014365212730243,60.0,3600.0
