scenario,scenario_name,scenario_path,seed,ignition_pos,total_decision_steps,total_minutes,mission_hours,burnt_area_m2,fire_cost_eur,casualties,emissions_tonnes,moe_cumulative_reward,propagation_factor,episode_reward_sum,wall_seconds,run,policy_type,policy_name,policy_source
Palisades,Palisades5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades5sp5ev.json,1016164991,"(70957.03550956398, 70764.98034788389)",13,130.0,2.1666666666666665,800525.0,107273.6,383.0,191.56,0.9971133537376752,0.0,-0.0022485882461744,34.310960742179304,1,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Palisades,Palisades5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades5sp5ev.json,1099128568,"(69545.59868647717, 71655.68053056858)",33,330.0,5.5,2722775.0,317597622.8,4414.0,2524.26,0.983606274293136,0.0,-0.0150386325730006,96.9153004642576,2,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Palisades,Palisades5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades5sp5ev.json,1621709874,"(70450.36588076502, 71716.2723797299)",8,80.0,1.3333333333333333,471425.0,468558354.8,4893.0,2915.21,0.9884586862990108,0.0,-0.0094544593806573,22.56072571501136,3,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Palisades,Palisades5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades5sp5ev.json,2041105244,"(70353.85738004185, 71346.66209984198)",9,90.0,1.5,593100.0,549823353.05,5759.0,3456.56,0.9862646134775016,0.0,-0.0122487383257123,23.71726429183036,4,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Palisades,Palisades5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades5sp5ev.json,74845286,"(70872.59057143144, 71189.12329201959)",19,190.0,3.1666666666666665,1501950.0,195524.0,698.0,349.15,0.994620758845994,0.0,-0.0049662964166781,54.62375230900943,5,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Palisades,Palisades5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades5sp5ev.json,309580410,"(71210.37032396533, 70437.7843624074)",19,190.0,3.1666666666666665,1892325.0,238498.4,851.0,425.89,0.9932730091707874,0.0,-0.0050404925875292,54.47115520993248,6,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Palisades,Palisades5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades5sp5ev.json,1767258088,"(71180.21141748689, 71395.13557917066)",19,190.0,3.1666666666666665,1533850.0,198458.4,708.0,354.39,0.994514676006024,0.0,-0.0050734067984945,55.37769590085372,7,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Palisades,Palisades5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades5sp5ev.json,2037209174,"(70751.95494552515, 71225.47840151656)",27,270.0,4.5,2069775.0,18519376.8,1144.0,590.53,0.9922030683649092,0.0,-0.0072750419950408,80.38361896574497,8,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Palisades,Palisades5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades5sp5ev.json,535214420,"(70902.74947790615, 71437.54987358348)",26,260.0,4.333333333333333,2525550.0,57080874.4,1700.0,1564.95,0.9885789635867436,0.0,-0.0109068712927867,78.20320333680138,9,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Palisades,Palisades5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades5sp5ev.json,669652943,"(70926.87660308927, 70231.77207525773)",6,60.0,1.0,126150.0,20622.0,73.0,36.83,0.9995219116723866,0.0,-0.0003639559838133,16.153464497998357,10,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
