scenario,scenario_name,scenario_path,seed,ignition_pos,total_decision_steps,total_minutes,mission_hours,burnt_area_m2,fire_cost_eur,casualties,emissions_tonnes,moe_cumulative_reward,propagation_factor,episode_reward_sum,wall_seconds,run,policy_type,policy_name,policy_source
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1016164991,"(78623.16144339503, 110483.32813702151)",14,140.0,2.3333333333333335,10541125.0,6404148.08,4171.0,267739.37,-0.15919712471481917,1.0,-1.1557554415888296,68.16884214896709,1,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1099128568,"(79517.69001771719, 110531.23310893308)",19,190.0,3.1666666666666665,15571800.0,6573146.43,7009.0,248000.56,-0.24071730606783392,1.0,-1.2389038727010833,101.65534376492724,2,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1621709874,"(78281.73832342474, 110743.38369882107)",10,100.0,1.6666666666666667,10235850.0,31114146.28,4218.0,280884.78,-0.1613471228546658,1.0,-1.157657373489922,54.85031335381791,3,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,2041105244,"(79435.74846892433, 108676.6263392549)",21,210.0,3.5,15320300.0,5764040.33,6623.0,212450.03,-0.22666360874443625,1.0,-1.2260136330195572,111.50125752901658,4,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,74845286,"(80050.31008487084, 110278.02111454867)",20,200.0,3.3333333333333335,16359600.0,5789366.55,7701.0,203970.36,-0.25533170407677186,1.0,-1.2542720415837763,100.76369983516634,5,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,309580410,"(79032.86918735938, 110065.87052465975)",19,190.0,3.1666666666666665,13879000.0,5775421.72,5991.0,217911.6,-0.20781560329258086,1.0,-1.2074790541746676,82.5051827058196,6,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1767258088,"(79620.11695370828, 110168.52403589431)",19,190.0,3.1666666666666665,15015650.0,6334285.1,6657.0,239571.2,-0.22962344076544516,1.0,-1.228600575878493,87.30711313104257,7,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,2037209174,"(79312.83614573503, 108409.72721003927)",22,220.0,3.6666666666666665,15581650.0,5409051.1,7197.0,191354.69,-0.23943515699867535,1.0,-1.2390280462494632,110.54259847011417,8,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,535214420,"(78718.75991698672, 109073.55324936938)",21,210.0,3.5,15328300.0,6282226.58,6504.0,237403.76,-0.22635499176998264,1.0,-1.2257334954009158,91.15584005368873,9,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,669652943,"(80159.56548326134, 108751.9055808289)",20,200.0,3.3333333333333335,13495250.0,4490514.12,6041.0,157975.97,-0.20174369791721292,1.0,-1.1985867681438642,109.9238673527725,10,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1866217507,"(79852.28467528807, 110955.53428871091)",2,20.0,0.3333333333333333,16575.0,3102.4,11.0,5.54,0.9996826738319429,0.0,-0.00016059684434799326,8.298048003576696,11,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
