scenario,scenario_name,scenario_path,seed,ignition_pos,total_decision_steps,total_minutes,mission_hours,burnt_area_m2,fire_cost_eur,casualties,emissions_tonnes,moe_cumulative_reward,propagation_factor,episode_reward_sum,wall_seconds,run,policy_type,policy_name,policy_source
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1016164991,"(64510.33348406153, 90474.68116801511)",14,140.0,2.3333333333333335,1200975.0,1539506.38,468.0,71112.53,0.9483316945023069,0.0,-0.036732641433183666,44.26468769880012,1,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1099128568,"(64333.31611008337, 89267.59726034105)",6,60.0,1.0,221925.0,237746.62,370.0,9208.4,0.9800167092737869,0.0,-0.008371273374581212,16.76465656980872,2,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1621709874,"(63606.28046695562, 91021.04546306748)",7,70.0,1.1666666666666667,256825.0,312169.62,310.0,13139.48,0.980928524603859,0.0,-0.009308312314216582,23.30867762118578,3,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,2041105244,"(64655.74061268754, 89604.31013984978)",12,120.0,2.0,612375.0,648222.25,936.0,25550.67,0.9483496534310946,0.0,-0.030071747808823157,33.90912661701441,4,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,74845286,"(64643.09651454631, 89890.19843377359)",12,120.0,2.0,809350.0,861066.12,978.0,35519.78,0.9419175688145446,0.0,-0.02898809226239818,34.12994143506512,5,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,309580410,"(64143.65463796258, 91211.63765901607)",13,130.0,2.1666666666666665,966100.0,1311979.0,158.0,62031.72,0.9658482161572427,0.0,-0.026386210292171808,41.891612890642136,6,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1767258088,"(64756.89339781832, 91408.582928163)",7,70.0,1.1666666666666667,457625.0,636018.5,42.0,30278.22,0.9848777160237404,0.0,-0.007434170595476242,22.923084913752973,7,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,2037209174,"(65268.97937254328, 90004.55375134293)",7,70.0,1.1666666666666667,319725.0,309124.88,590.0,11328.34,0.9695167757674674,0.0,-0.012595438922538227,20.086134074255824,8,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,535214420,"(65743.13305284362, 89000.76818601228)",8,80.0,1.3333333333333333,519500.0,677834.88,234.0,31141.07,0.976201753811078,0.0,-0.01488413631459784,25.0967988059856,9,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,669652943,"(64522.97758220369, 91287.87453739531)",7,70.0,1.1666666666666667,387275.0,550550.5,16.0,26327.82,0.9877699562292681,0.0,-0.006111917338111561,21.8404396539554,10,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1866217507,"(65250.013225330506, 91243.40302500688)",11,110.0,1.8333333333333333,730500.0,972047.0,232.0,45277.8,0.9700577470253917,0.0,-0.02269503173300258,28.210759941022843,11,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,909086626,"(65667.26846399531, 90836.80634031631)",11,110.0,1.8333333333333333,908175.0,1161161.88,303.0,53934.47,0.9629936622732164,0.0,-0.023731072242723084,33.772435585968196,12,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,586626705,"(65464.96289373422, 89032.53355200402)",9,90.0,1.5,710475.0,785917.75,691.0,33617.73,0.9551394274409187,0.0,-0.02652496318055997,24.375402150675654,13,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1777477784,"(64769.53749595955, 90868.57170630898)",33,330.0,5.5,3043625.0,3735445.0,1582.0,169904.28,0.856174271552272,0.0,-0.12395072517350902,96.42214445536956,14,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,551886180,"(64187.90898145782, 90830.45326711982)",17,170.0,2.8333333333333335,1078700.0,1486230.75,306.0,69516.09,0.9563789239168781,0.0,-0.030956484817578178,49.37913195602596,15,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
